NIL,Travellers
17.0,10
80.0,11
55.0,10
52.0,20
46.0,7
15.0,3
77.0,5
81.0,3
2.0,7
83.0,5
21.0,33
47.0,0
73.0,0
10.0,10
34.0,1
22.0,12
82.0,3
25.0,5
58.0,10
79.0,6
1.0,7
37.0,2
78.0,4
63.0,1
56.0,15
65.0,13
9.0,4
70.0,12
49.0,9
3.0,0
41.0,4
13.0,7
4.0,5
11.0,14
23.0,2
35.0,15
53.0,8
20.0,14
12.0,12
7.0,6
72.0,2
30.0,9
54.0,2
44.0,8
14.0,20
29.0,7
19.0,14
68.0,4
87.0,0
88.0,0
86.0,0
85.0,0
24.0,3
18.0,13
31.0,3
84.0,0
8.0,0
27.0,8
67.0,5
66.0,0
61.0,4
76.0,10
62.0,4
39.0,0
38.0,6
33.0,5
40.0,0
48.0,10
45.0,8
60.0,5
74.0,0
69.0,10
36.0,4
57.0,14
42.0,10
75.0,0
43.0,1
6.0,9
50.0,6
59.0,3
64.0,2
32.0,1
28.0,7
16.0,14
5.0,5
71.0,25
51.0,7
26.0,10
101.0,52
102.0,19
103.0,12
104.0,97
105.0,8
999.0,488
