Flight Code,Date,Company,Pax,Gate,Passport,Departure Time (min),Departure Cluster,Departure Mu,index,SCHENGEN,TYPE,NATIONAL
RYR|9|355|D71,9/6/2023,RYANAIR,53,12,0,355.0,11.0,5.0,0,True,LC,False
TAP|9|355|D72,9/6/2023,TAP AIR PORTUGAL,134,17,0,355.0,11.0,4.0,1,True,LEG,False
EJU|9|360|D58,9/6/2023,EASYJET EUROPE,149,6,0,360.0,12.0,4.0,2,False,LC,False
RYR|9|360|D61,9/6/2023,RYANAIR,160,9,0,360.0,12.0,4.0,5,False,LC,False
EJU|9|360|D59,9/6/2023,EASYJET EUROPE,225,11,0,360.0,12.0,6.0,3,True,LC,True
EJU|9|360|D60,9/6/2023,EASYJET EUROPE,175,19,0,360.0,12.0,6.0,4,True,LC,True
EJU|9|370|D74,9/6/2023,EASYJET EUROPE,229,23,0,370.0,12.0,6.0,6,True,LC,True
RYR|9|370|D75,9/6/2023,RYANAIR,154,4,0,370.0,12.0,6.0,7,True,LC,True
RYR|9|375|D38,9/6/2023,RYANAIR,179,21,0,375.0,12.0,6.0,8,True,LC,True
RYR|9|375|D39,9/6/2023,RYANAIR,184,5,0,375.0,12.0,6.0,9,True,LC,True
DLH|9|375|D40,9/6/2023,LUFTHANSA,161,3,0,375.0,12.0,5.0,10,True,LEG,False
EJU|9|380|D83,9/6/2023,EASYJET EUROPE,159,13,0,380.0,12.0,6.0,11,True,LC,False
WZZ|9|390|D48,9/6/2023,WIZZ AIR,212,5,0,390.0,13.0,7.0,12,True,LC,True
RYR|9|395|D4,9/6/2023,RYANAIR,185,3,0,395.0,13.0,7.0,13,True,LC,True
RYR|9|400|D39,9/6/2023,RYANAIR,163,17,0,400.0,13.0,7.0,14,True,LC,True
KLM|9|400|D40,9/6/2023,KLM,174,21,0,400.0,13.0,6.0,15,True,LEG,False
WZZ|9|400|D41,9/6/2023,WIZZ AIR,209,3,0,400.0,13.0,7.0,16,True,LC,False
EJU|9|405|D7,9/6/2023,EASYJET EUROPE,214,18,0,405.0,13.0,7.0,17,True,LC,False
EJU|9|420|D41,9/6/2023,EASYJET EUROPE,179,16,0,420.0,14.0,8.0,18,True,LC,False
