Departure Time (min),Departure Cluster,Departure Mu,Flight Code,SCHENGEN,TYPE,NATIONAL,Date,Pax,Company
355,11,5,RYR|1|355|D49,True,LC,False,1/6/2023,172,RYANAIR
355,11,3,RYR|1|355|D50,False,LC,False,1/6/2023,181,RYANAIR
355,11,5,RYR|1|355|D51,True,LC,True,1/6/2023,177,RYANAIR
355,11,4,TAP|1|355|D52,True,LEG,False,1/6/2023,102,TAP AIR PORTUGAL
360,12,6,EJU|1|360|D29,True,LC,True,1/6/2023,208,EASYJET EUROPE
360,12,4,EJU|1|360|D30,False,LC,False,1/6/2023,181,EASYJET EUROPE
360,12,6,EJU|1|360|D31,True,LC,False,1/6/2023,179,EASYJET EUROPE
360,12,6,RYR|1|360|D32,True,LC,False,1/6/2023,177,RYANAIR
370,12,6,EJU|1|370|D55,True,LC,True,1/6/2023,137,EASYJET EUROPE
370,12,6,RYR|1|370|D56,True,LC,True,1/6/2023,175,RYANAIR
375,12,5,DLH|1|375|D24,True,LEG,False,1/6/2023,116,LUFTHANSA
385,12,6,RYR|1|385|D13,True,LC,False,1/6/2023,173,RYANAIR
385,12,6,RYR|1|385|D14,True,LC,True,1/6/2023,182,RYANAIR
390,13,7,EJU|1|390|D30,True,LC,True,1/6/2023,172,EASYJET EUROPE
390,13,7,WZZ|1|390|D31,True,LC,True,1/6/2023,224,WIZZ AIR
400,13,7,RYR|1|400|D18,True,LC,True,1/6/2023,171,RYANAIR
400,13,4,KLM|1|400|D19,False,LEG,False,1/6/2023,145,KLM
400,13,7,WZZ|1|400|D20,True,LC,False,1/6/2023,206,WIZZ AIR
420,14,8,EJU|1|420|D90,True,LC,False,1/6/2023,178,EASYJET EUROPE
420,14,8,EJU|1|420|D91,True,LC,False,1/6/2023,172,EASYJET EUROPE
420,14,6,EJU|1|420|D92,False,LC,False,1/6/2023,155,EASYJET EUROPE
420,14,6,EJU|1|420|D93,False,LC,False,1/6/2023,179,EASYJET EUROPE
420,14,8,EJU|1|420|D94,True,LC,True,1/6/2023,152,EASYJET EUROPE
420,14,8,WZZ|1|420|D96,True,LC,False,1/6/2023,223,WIZZ AIR
425,14,8,EJU|1|425|D91,True,LC,False,1/6/2023,170,EASYJET EUROPE
