Time,Date,Pax,Type,Company
0,2/6/2022,171,A,RYANAIR
0,3/6/2022,220,A,WIZZ AIR
0,4/6/2022,192,A,WIZZ AIR
0,7/6/2022,187,A,RYANAIR
0,9/6/2022,181,A,RYANAIR
0,14/06/2022,180,A,RYANAIR
0,16/06/2022,173,A,RYANAIR
0,17/06/2022,207,A,WIZZ AIR
0,18/06/2022,201,A,WIZZ AIR
0,21/06/2022,178,A,RYANAIR
0,23/06/2022,183,A,RYANAIR
0,24/06/2022,228,A,WIZZ AIR
0,25/06/2022,206,A,WIZZ AIR
0,28/06/2022,180,A,RYANAIR
0,28/06/2022,204,A,WIZZ AIR
0,30/06/2022,185,A,RYANAIR
5,1/6/2022,163,A,RYANAIR
5,2/6/2022,224,A,WIZZ AIR
5,3/6/2022,155,A,RYANAIR
5,6/6/2022,177,A,RYANAIR
5,8/6/2022,188,A,RYANAIR
5,10/6/2022,155,A,RYANAIR
5,13/06/2022,155,A,RYANAIR
5,15/06/2022,172,A,RYANAIR
5,17/06/2022,144,A,RYANAIR
5,20/06/2022,189,A,RYANAIR
5,22/06/2022,175,A,RYANAIR
5,24/06/2022,80,A,EASYJET EUROPE
5,24/06/2022,162,A,RYANAIR
5,29/06/2022,150,A,RYANAIR
10,4/6/2022,121,A,EASYJET EUROPE
10,4/6/2022,175,A,RYANAIR
10,5/6/2022,147,A,EASYJET EUROPE
10,5/6/2022,158,A,RYANAIR
10,6/6/2022,181,A,RYANAIR
10,11/6/2022,93,A,EASYJET EUROPE
10,11/6/2022,180,A,RYANAIR
10,12/6/2022,111,A,EASYJET EUROPE
10,12/6/2022,191,A,RYANAIR
10,12/6/2022,167,A,NEOS
10,13/06/2022,166,A,RYANAIR
10,18/06/2022,72,A,EASYJET EUROPE
10,18/06/2022,170,A,RYANAIR
10,19/06/2022,128,A,EASYJET EUROPE
10,19/06/2022,176,A,RYANAIR
10,20/06/2022,173,A,RYANAIR
10,25/06/2022,151,A,EASYJET EUROPE
10,25/06/2022,173,A,RYANAIR
10,27/06/2022,170,A,RYANAIR
15,1/6/2022,144,A,RYANAIR
15,2/6/2022,179,A,RYANAIR
15,4/6/2022,157,A,RYANAIR
15,4/6/2022,181,A,RYANAIR
15,5/6/2022,231,A,EASYJET EUROPE
15,8/6/2022,168,A,RYANAIR
15,9/6/2022,162,A,RYANAIR
15,11/6/2022,169,A,RYANAIR
15,11/6/2022,176,A,RYANAIR
15,12/6/2022,221,A,EASYJET EUROPE
15,15/06/2022,161,A,RYANAIR
15,16/06/2022,169,A,RYANAIR
15,18/06/2022,174,A,RYANAIR
15,18/06/2022,169,A,RYANAIR
15,19/06/2022,151,A,EASYJET EUROPE
15,22/06/2022,163,A,RYANAIR
15,22/06/2022,228,A,WIZZ AIR
15,23/06/2022,156,A,RYANAIR
15,25/06/2022,100,D,TUNISAIR
15,26/06/2022,221,A,EASYJET EUROPE
15,29/06/2022,135,A,EASYJET EUROPE
15,29/06/2022,171,A,RYANAIR
15,29/06/2022,204,A,WIZZ AIR
20,1/6/2022,179,A,WIZZ AIR
20,4/6/2022,162,A,RYANAIR
20,8/6/2022,183,A,WIZZ AIR
20,11/6/2022,160,A,RYANAIR
20,15/06/2022,202,A,WIZZ AIR
25,1/6/2022,53,A,EASYJET EUROPE
25,3/6/2022,93,A,RYANAIR
25,4/6/2022,173,A,RYANAIR
25,5/6/2022,166,A,RYANAIR
25,6/6/2022,128,D,AIR ALBANIA
25,7/6/2022,107,D,AIR ALBANIA
25,8/6/2022,123,A,EASYJET EUROPE
25,10/6/2022,151,A,RYANAIR
25,11/6/2022,164,A,RYANAIR
25,12/6/2022,166,A,RYANAIR
25,13/06/2022,143,D,AIR ALBANIA
25,15/06/2022,127,A,EASYJET EUROPE
25,17/06/2022,109,A,RYANAIR
25,18/06/2022,178,A,RYANAIR
25,19/06/2022,178,A,RYANAIR
25,20/06/2022,112,D,AIR ALBANIA
25,21/06/2022,95,D,AIR ALBANIA
25,22/06/2022,149,A,EASYJET EUROPE
25,24/06/2022,143,A,RYANAIR
25,26/06/2022,170,A,RYANAIR
25,27/06/2022,96,D,AIR ALBANIA
25,28/06/2022,175,A,EASYJET EUROPE
25,28/06/2022,102,D,AIR ALBANIA
25,29/06/2022,150,A,EASYJET EUROPE
25,30/06/2022,58,A,EASYJET EUROPE
30,2/6/2022,78,A,RYANAIR
30,4/6/2022,186,A,RYANAIR
30,6/6/2022,184,A,RYANAIR
30,6/6/2022,189,A,NEOS
30,7/6/2022,181,A,RYANAIR
30,9/6/2022,170,A,RYANAIR
30,11/6/2022,88,A,RYANAIR
30,13/06/2022,151,A,RYANAIR
30,14/06/2022,176,A,RYANAIR
30,16/06/2022,93,A,RYANAIR
30,18/06/2022,162,A,RYANAIR
30,20/06/2022,161,A,RYANAIR
30,21/06/2022,152,A,RYANAIR
30,23/06/2022,107,A,RYANAIR
30,27/06/2022,160,A,RYANAIR
30,28/06/2022,156,A,RYANAIR
30,30/06/2022,152,A,RYANAIR
35,1/6/2022,106,A,TAP AIR PORTUGAL
35,2/6/2022,86,A,TAP AIR PORTUGAL
35,3/6/2022,124,A,TAP AIR PORTUGAL
35,4/6/2022,131,A,EASYJET EUROPE
35,4/6/2022,143,A,TAP AIR PORTUGAL
35,5/6/2022,170,A,TAP AIR PORTUGAL
35,6/6/2022,178,A,RYANAIR
35,6/6/2022,106,A,TAP AIR PORTUGAL
35,7/6/2022,178,A,EASYJET EUROPE
35,7/6/2022,178,A,RYANAIR
35,7/6/2022,110,A,TAP AIR PORTUGAL
35,8/6/2022,162,A,TAP AIR PORTUGAL
35,9/6/2022,156,A,TAP AIR PORTUGAL
35,10/6/2022,171,A,TAP AIR PORTUGAL
35,11/6/2022,67,A,EASYJET EUROPE
35,11/6/2022,119,A,TAP AIR PORTUGAL
35,12/6/2022,108,A,TAP AIR PORTUGAL
35,13/06/2022,174,A,RYANAIR
35,13/06/2022,166,A,TAP AIR PORTUGAL
35,14/06/2022,106,A,EASYJET EUROPE
35,14/06/2022,166,A,RYANAIR
35,14/06/2022,159,A,TAP AIR PORTUGAL
35,15/06/2022,63,A,TAP AIR PORTUGAL
35,16/06/2022,77,A,TAP AIR PORTUGAL
35,17/06/2022,57,A,TAP AIR PORTUGAL
35,18/06/2022,99,A,EASYJET EUROPE
35,18/06/2022,98,A,TAP AIR PORTUGAL
35,19/06/2022,60,A,TAP AIR PORTUGAL
35,20/06/2022,167,A,RYANAIR
35,20/06/2022,161,A,TAP AIR PORTUGAL
35,21/06/2022,181,A,EASYJET EUROPE
35,21/06/2022,186,A,RYANAIR
35,21/06/2022,118,A,TAP AIR PORTUGAL
35,22/06/2022,103,A,TAP AIR PORTUGAL
35,23/06/2022,90,A,TAP AIR PORTUGAL
35,25/06/2022,173,A,EASYJET EUROPE
35,25/06/2022,122,A,TAP AIR PORTUGAL
35,26/06/2022,136,A,TAP AIR PORTUGAL
35,27/06/2022,180,A,RYANAIR
35,27/06/2022,213,A,TAP AIR PORTUGAL
35,28/06/2022,172,A,EASYJET EUROPE
35,28/06/2022,178,A,RYANAIR
35,28/06/2022,131,A,TAP AIR PORTUGAL
35,29/06/2022,115,A,EASYJET EUROPE
35,29/06/2022,78,A,TAP AIR PORTUGAL
35,30/06/2022,90,A,TAP AIR PORTUGAL
40,1/6/2022,175,A,EASYJET EUROPE
40,2/6/2022,62,A,EASYJET EUROPE
40,4/6/2022,144,A,EASYJET EUROPE
40,6/6/2022,183,A,EASYJET EUROPE
40,8/6/2022,168,A,EASYJET EUROPE
40,9/6/2022,170,A,EASYJET EUROPE
40,11/6/2022,124,A,EASYJET EUROPE
40,13/06/2022,175,A,EASYJET EUROPE
40,15/06/2022,143,A,EASYJET EUROPE
40,16/06/2022,127,A,EASYJET EUROPE
40,18/06/2022,154,A,EASYJET EUROPE
40,20/06/2022,172,A,EASYJET EUROPE
40,22/06/2022,177,A,EASYJET EUROPE
40,23/06/2022,130,A,EASYJET EUROPE
40,25/06/2022,172,A,EASYJET EUROPE
40,27/06/2022,179,A,EASYJET EUROPE
40,28/06/2022,178,A,EASYJET EUROPE
40,29/06/2022,178,A,EASYJET EUROPE
45,3/6/2022,167,A,RYANAIR
45,7/6/2022,154,A,RYANAIR
45,10/6/2022,174,A,RYANAIR
45,14/06/2022,148,A,RYANAIR
45,17/06/2022,174,A,RYANAIR
45,21/06/2022,163,A,RYANAIR
45,24/06/2022,174,A,RYANAIR
45,28/06/2022,152,A,RYANAIR
50,3/6/2022,127,A,EASYJET EUROPE
50,5/6/2022,172,A,RYANAIR
50,7/6/2022,186,A,RYANAIR
50,7/6/2022,178,A,RYANAIR
50,7/6/2022,174,A,RYANAIR
50,10/6/2022,142,A,EASYJET EUROPE
50,12/6/2022,112,A,RYANAIR
50,14/06/2022,152,A,RYANAIR
50,14/06/2022,165,A,RYANAIR
50,14/06/2022,180,A,RYANAIR
50,17/06/2022,112,A,EASYJET EUROPE
50,19/06/2022,151,A,RYANAIR
50,21/06/2022,180,A,RYANAIR
50,21/06/2022,170,A,RYANAIR
50,21/06/2022,182,A,RYANAIR
50,24/06/2022,118,A,EASYJET EUROPE
50,28/06/2022,147,A,RYANAIR
50,28/06/2022,186,A,RYANAIR
50,28/06/2022,168,A,RYANAIR
55,1/6/2022,148,A,RYANAIR
